Title: Mapping the Diffuse Ultraviolet Sky with GALEX
Authors: Murthy J., Henry R.C., Sujatha N.V.
Table: Diffuse Flux Observed by GALEX
================================================================================
Byte-by-byte Description of file: apj370277t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  6 F6.2   deg   GLON   Galactic longitude
   8- 13 F6.2   deg   GLAT   Galactic latitude 
  15- 21 F7.2   ---   TFUV   Total FUV band flux (1)
  23- 29 F7.2   ---   TNUV   Total NUV band flux (1)
  31- 37 F7.2   ---   FUV    FUV band flux (1)
  39- 45 F7.2   ---   NUV    NUV band flux (1)
--------------------------------------------------------------------------------
Note (1): In units of ph/cm^2^/s/sr/Angstroms.
--------------------------------------------------------------------------------
 84.71  67.35  562.33 1037.83  336.1   335.57 
 62.46  44.17  534.14 1084.08  396.32  540.36 
 84.71  67.35  409.94  908.78  182.38  241.92 
161.41  49.4   329.6   982.98  263.56  334.85 
163.13  50.71  344.48  973.52  284.81  316.87 
186.67  56.86  353.09 1119.57  353.09  336.6  
237.41 -49.72  511.45 1349.29  292.48  710.71 
146.15  52.62  338.87  930.07  148.76  179.26 
152.22  53.41  353.51 1045.36  188.27  293.01 
289.43 -67.92  415.37  959.97  286.78  312.36 
170.53  62.61  425.86 1235.93  397.68  535.93 
 72.92  66.89  463.87 1015.25  255.79  365.1  
244.56 -49.17  509.5   970.51  275.56  335.4  
260.11 -38.76  663.96 1116.99  474.    558.27 
326.85 -80.97  403.84 1023.21  348.97  283.29 
252.37 -41.64  530.61  977.82  364.86  418.76 
255.48 -50.51  489.73  985.99  342.16  423.07 
145.1   46.75  451.24 1066.22  321.61  440.45 
231.52 -49.54  733.75 1207.33  475.24  494.56 
241.83 -48.89  557.69 1125.59  431.83  555.63 
327.56 -75.42  538.54 1149.25  284.12  316.96 
164.34  62.    337.84  974.59  298.43  296.73 
 63.43  65.52  413.48  954.05  329.57  353.61 
135.14  49.95  414.64  970.72  258.48  330.35 
312.25 -72.43  363.76  978.47  296.44  362.99 
 66.22  44.93  575.87 1021.05  371.63  375.81 
135.14  49.95  475.4  1049.12  319.27  408.78 
 91.44  74.8   381.88 1068.81  283.15  411.46 
337.88 -60.18  522.92 1129.25  397.59  501.06 
153.95  50.66  412.38 1069.67  288.97  339.62 
341.6  -57.75  424.52 1047.94  245.67  350.04 
145.82  53.29  405.82 1011.38  285.23  342.   
145.82  53.29   -1.    998.68   -1.    344.67 
156.07  47.14  412.69 1098.92  303.21  361.2  
326.62 -72.39  609.3  1125.59  514.49  492.3  
 64.03  41.43  472.71  921.04   15.98   44.93 
143.05  52.31  465.39 1097.63  327.    475.59 
159.    49.89  455.33 1170.76  352.88  431.12 
 94.24  58.29  562.08 1102.36  368.48  503.35 
 69.45  72.45  524.99 1078.48  388.49  483.96 
164.99  51.99  380.66 1051.38  327.28  381.45 
326.04 -68.36  387.55 1026.43  285.92  314.95 
 92.47  75.84  387.25 1049.88  293.49  387.66 
251.19 -41.16  685.98 1160.87  521.11  605.47 
 83.48  44.5   600.15  953.3   292.55  248.01 
157.88  50.63  418.73 1047.51  320.14  318.55 
 83.48  44.5   752.29 1081.71  510.23  456.4  
153.68  47.52  355.47  972.66  235.03  244.12 
341.91 -64.43  333.69 1009.22  245.11  254.11 
 86.13  45.22  577.21 1061.71  334.85  428.9  
 14.82  88.65  333.75 1087.3    31.03  174.93 
157.31  47.46  449.04 1181.52  344.47  447.78 
176.09  58.49  628.21 1270.99  592.46  541.64 
 85.24  71.75  447.61 1024.71  354.71  438.37 
 67.81  68.79  490.53 1025.14  290.74  375.61 
301.39 -74.04  456.49 1122.36  391.33  506.62 
166.02  54.03  398.9  1138.07  320.76  387.54 
 92.02  50.89  505.35 1014.6   326.28  442.53 
148.67  50.12  434.95 1025.57  309.35  396.22 
344.39 -59.32  342.41 1004.28  302.2   334.86 
 85.27  73.92  409.51 1007.93  297.15  338.7  
329.27 -71.87  652.61 1149.47  556.79  512.82 
315.3  -72.1   374.62 1062.14  307.62  449.41 
328.47 -68.84  359.37  980.62  302.23  343.74 
117.89  65.37  384.14  945.34  271.78  330.55 
101.41  55.24  504.37 1012.45  356.44  468.46 
 89.02  80.37  360.59  973.09  288.86  352.19 
 88.38  66.19  361.5   852.74  253.31  284.53 
243.25 -48.56  499.55  944.27  270.59  314.79 
 89.17  68.37  463.44 1011.16  296.97  307.1  
110.73  68.85  443.8   985.99  288.28  325.36 
110.68  65.35  547.2  1123.44  428.33  512.47 
 85.04  69.56  475.4   963.84  247.57  284.78 
251.33 -50.05  693.85 1157.42  438.96  503.2  
335.49 -63.47  397.1  1006.21  290.78  263.09 
171.38  63.58  364.07 1101.5   336.6   406.28 
 88.82  46.31  574.77  961.47  380.11  385.54 
330.52 -57.67  405.55  986.64  325.85  358.65 
297.34 -68.    575.87 1071.82  406.    361.34 
140.22  52.25  519.87 1180.65  381.03  525.77 
 84.55  43.87  580.99 1112.47  333.94  485.62 
245.88 -49.77  520.97  996.53  280.41  356.26 
172.49  54.74  409.33 1139.57  387.02  433.13 
149.48  50.36  391.21  939.53  181.81  128.64 
107.61  63.97  502.3  1021.7   381.08  430.74 
232.51 -51.18  711.42 1185.17  444.78  458.71 
332.02 -57.07  356.01  942.98  295.63  318.28 
