Title: The Mystery of the Cosmic Diffuse Ultraviolet Background Radiation 
Authors: Henry R.C., Murthy J., Overduin J., Tyler J.
Table: The Two Dynamics Explorer FUV Scans (Fix, Craven & Frank 1989)
================================================================================
Byte-by-byte Description of file: apj504185t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units              Label  Explanations
--------------------------------------------------------------------------------
       1 I1     ---                Scan   Scan number
   3-  6 I4     ---                Num    Source number
   8- 13 F6.2   deg                GLON   Galactic longitude
  15- 20 F6.2   deg                GLAT   Galactic latitude
  22- 26 I5     ph/cm/s/sr/0.1nm   Flux   Observed photon flux (1)
  28- 31 I4     ph/cm/s/sr/0.1nm e_Flux   Uncertainty in Flu (1)
--------------------------------------------------------------------------------
Note (1): In "Photon Units" which is photons cm^-2^ s^-1^ sr^-1^ Angstrom^-1^.
--------------------------------------------------------------------------------
1  329 325.85 -49.67   424  196 
1  330 326.12 -49.84  1149  245 
1  331 326.38 -49.99   721  208 
1  332 326.64 -50.15   840  216 
1  333 326.91 -50.30  1446  255 
1  334 327.18 -50.46  1295  260 
1  335 327.45 -50.61   629  210 
1  336 327.73 -50.77  1174  243 
1  337 328.01 -50.92   508  196 
1  338 328.28 -51.07   870  247 
1  339 328.56 -51.22   932  227 
1  340 328.84 -51.37   688  235 
1  341 329.12 -51.52  1354  249 
1  342 329.41 -51.68   749  214 
1  343 329.70 -51.82   538  204 
1  344 329.99 -51.97   508  202 
1  345 330.28 -52.11   840  229 
1  346 330.57 -52.26   901  521 
1  347 330.86 -52.41   870  235 
1  348 331.17 -52.56  1174  249 
1  349 331.46 -52.70  1112  243 
1  350 332.06 -52.98   749  218 
1  351 332.36 -53.13   598  200 
1  352 332.66 -53.27  1022  241 
1  353 332.99 -53.41   387  192 
1  354 333.29 -53.55   719  216 
1  355 333.60 -53.69   598  200 
1  356 333.92 -53.83   659  204 
1  357 334.23 -53.96  1053  260 
1  358 334.54 -54.10   296  175 
1  359 334.88 -54.24   629  210 
1  360 335.20 -54.37   508  196 
1  361 335.52 -54.51  1174  247 
1  362 335.85 -54.64   840  224 
1  363 336.17 -54.77   690  206 
1  364 336.50 -54.90  1112  249 
1  365 336.85 -55.04   567  202 
1  366 337.18 -55.16   598  208 
1  367 337.52 -55.29   991  239 
1  368 337.85 -55.42   387  181 
1  369 338.20 -55.54   598  204 
1  370 338.54 -55.67   598  204 
1  371 338.89 -55.80   598  204 
1  372 339.24 -55.92   446  196 
1  373 339.59 -56.04   508  192 
1  374 339.94 -56.16   477  200 
1  375 340.29 -56.29   719  212 
1  376 340.65 -56.41   356  179 
1  377 341.02 -56.52  1205  255 
1  378 341.38 -56.64   659  204 
1  379 341.74 -56.76   294  179 
1  380 342.11 -56.88  1084  241 
1  381 342.48 -56.99   508  196 
1  382 342.84 -57.10   780  220 
1  383 343.23 -57.22   780  212 
1  384 343.60 -57.33   991  262 
1  385 343.98 -57.43   508  202 
1  386 344.36 -57.54   114  159 
1  387 344.74 -57.65   446  202 
1  388 345.12 -57.76   901  220 
1  389 345.52 -57.87   719  216 
1  390 345.91 -57.97  1416  256 
1  391 346.30 -58.07  1143  247 
1  392 346.69 -58.17   961  233 
1  393 347.08 -58.28   659  212 
1  394 347.49 -58.38   659  208 
1  395 347.89 -58.47   629  210 
1  396 348.29 -58.57   809  214 
1  397 348.69 -58.67   780  216 
1  398 349.10 -58.76   688  231 
1  399 349.51 -58.85   567  206 
1  400 349.93 -58.94   991  521 
1  401 350.34 -59.04   204  171 
1  402 350.75 -59.13   508  192 
1  403 351.17 -59.21   659  216 
1  404 351.59 -59.30   719  208 
1  405 352.01 -59.38   567  196 
1  406 352.45 -59.47   294  175 
1  407 352.87 -59.55   415  186 
1  408 353.30 -59.63   719  220 
1  409 353.72 -59.71  1051  525 
1  410 354.16 -59.78   778  220 
1  411 354.59 -59.86   415  186 
1  412 355.04 -59.94  1295  531 
1  413 355.47 -60.02   477  200 
1  414 355.91 -60.09   961  237 
1  415 356.35 -60.16   719  220 
1  416 356.80 -60.22   567  202 
1  417 357.24 -60.29   446  188 
1  418 357.70 -60.36   657  208 
1  419 358.15 -60.43   749  218 
1  420 358.60 -60.49   870  222 
1  421 359.05 -60.55   629  202 
1  422 359.50 -60.61   415  186 
1  423 359.95 -60.67   778  224 
1  424   0.43 -60.73   567  196 
1  425   0.88 -60.78   840  258 
1  426   1.34 -60.84   778  216 
1  427   1.80 -60.89   536  212 
1  428   2.27 -60.94   415  186 
1  429   2.73 -60.99   356  179 
1  430   3.21 -61.04   778  220 
1  431   3.68 -61.08   294  175 
1  432   4.15 -61.13   204  167 
1  433   4.61 -61.17   598  200 
1  434   5.08 -61.21   719  220 
1  435   5.56 -61.25   598  204 
1  436   6.05 -61.29   114  163 
1  437   6.52 -61.32   688  206 
1  438   7.00 -61.36   387  188 
1  439   7.47 -61.39   567  196 
1  440   7.95 -61.43   598  204 
1  441   8.42 -61.46   901  224 
1  442   8.92 -61.48  1203  529 
1  443   9.40 -61.50   446  188 
1  444   9.88 -61.53   749  231 
1  445  10.36 -61.55   536  194 
1  446  10.84 -61.58   778  212 
1  447  11.35 -61.60   961  233 
1  448  11.83 -61.61   809  231 
1  449  12.31 -61.63   778  216 
1  450  12.79 -61.64  1051  295 
1  451  13.28 -61.65   356  186 
1  452  13.76 -61.66   749  214 
1  453  14.27 -61.67   477  194 
1  454  14.75 -61.68   688  210 
1  455  15.24 -61.69   719  224 
1  456  15.72 -61.69  1112  330 
1  457  16.21 -61.70   778  220 
1  458  16.69 -61.69   749  218 
1  459  17.20 -61.69   930  231 
1  460  17.68 -61.68   264  177 
1  461  18.17 -61.68   809  243 
1  462  18.65 -61.68   536  212 
1  463  19.14 -61.67   536  194 
1  464  19.62 -61.66   536  194 
1  465  20.13 -61.65   688  210 
1  466  20.61 -61.63   536  194 
1  467  21.09 -61.61   778  224 
1  468  21.57 -61.60   719  212 
1  469  22.05 -61.58   809  218 
1  470  22.54 -61.56   567  206 
1  471  23.04 -61.54   506  192 
1  472  23.52 -61.51   930  235 
1  473  24.00 -61.49   385  188 
